Manufacturer,CO_Emissions,Fuel_Cost_6000_Miles
Mercedes-Benz,,529
Mitsubishi,475,618
Vauxhall,700,507
Citroen,174,485
Peugeot,1000,612
Proton,730,595
Ford,100,449
Saab,610,768
Renault,297,456
Citroen,503,431
Mercedes-Benz,200,536
Suzuki,480,707
Saab,100,550
BMW,700,877
Renault,300,536
BMW,382,717
Toyota,800,522
Peugeot,100,470
BMW,1000,507
Mitsubishi,200,689
Audi,100,651
Vauxhall,500,326
Ford,700,604
Ford,559,760
Mercedes-Benz,500,556
Citroen,707,543
Renault,1073,805
Vauxhall,500,604
Ford,109,417
Alfa Romeo,338,592
Honda,300,578
Honda,800,612
Proton,400,612
Renault,500,661
Mitsubishi,400,501
Ford,83,444
Volkswagen,294,438
Mercedes-Benz,600,556
Volvo,1100,709
Volvo,600,696
Honda,500,521
Skoda,700,556
Chrysler Jeep,487,885
Ford,662,493
Volvo,500,668
Audi,408,584
Saab,540,700
Ford,400,493
Skoda,772,501
Volvo,1000,640
Audi,496,629
Volvo,600,402
Audi,70,571
Mercedes-Benz,500,640
Audi,451,738
Citroen,200,398
Volkswagen,,595
Daihatsu,696,478
Mazda,904,384
Audi,619,671
Volkswagen,536,696
Saab,370,625
Mitsubishi,1117,668
Land Rover,868,815
Audi,700,563
Proton,500,583
MG Rover Group,,380
Toyota,800,506
Volkswagen,100,478
Volkswagen,200,384
Mitsubishi,168,506
Kia,670,571
Mercedes-Benz,200,744
Vauxhall,100,318
Subaru,600,661
Skoda,300,465
Nissan,480,550
Volkswagen,117,402
Mazda,600,493
Suzuki,,557
Skoda,718,522
MG Rover Group,800,770
Toyota,500,376
Renault,400,390
Mitsubishi,990,731
Skoda,200,420
BMW,300,773
Alfa Romeo,1292,693
Chevrolet,700,909
Vauxhall,600,661
Citroen,1584,838
Jaguar Cars,380,885
Peugeot,800,556
Peugeot,300,537
Volkswagen,1709,846
BMW,300,646
BMW,800,967
Mercedes-Benz,341,786
Volvo,260,485
Chrysler Jeep,1034,883
Mazda,701,641
BMW,,620
Porsche,303,897
Volvo,892,620
Vauxhall,500,634
Honda,700,640
Mercedes-Benz,,522
Rover Group Limited,188,707
Chrysler Jeep,954,947
Citroen,901,480
Ford,600,543
Volvo,500,640
Saab,830,686
Mitsubishi,500,709
Volkswagen,200,355
Volkswagen,200,410
Jaguar Cars,600,692
Alfa Romeo,1177,882
Mercedes-Benz,,500
Volkswagen,396,594
Mercedes-Benz,,557
Mitsubishi,229,689
Mercedes-Benz,200,805
Skoda,700,501
Mercedes-Benz,200,829
Daewoo Cars,400,521
Volvo,600,696
Vauxhall,400,417
Jaguar Cars,510,913
BMW,500,744
Volvo,1092,812
Skoda,117,377
Mazda,467,549
Mitsubishi,802,633
Nissan,584,434
Proton,1440,600
Fiat,490,514
Volvo,1000,652
Hyundai,490,464
Vauxhall,700,682
Alfa Romeo,480,666
Kia,200,506
Micro Compact Car,500,362
Toyota,170,950
Vauxhall,300,521
Mercedes-Benz,700,940
Vauxhall,500,744
Volvo,1500,549
Smart,400,354
Seat,100,377
Honda,704,724
Volkswagen,275,750
Mitsubishi,900,661
Renault,400,597
Audi,100,398
Jaguar Cars,360,863
Mercedes-Benz,,485
Vauxhall,500,744
Skoda,100,384
Hyundai,650,550
MG Rover Group,319,511
Renault,300,410
Toyota,1270,1064
Volvo,984,769
Volkswagen,200,710
Ford,900,521
Citroen,300,412
Daihatsu,300,417
Citroen,173,580
Nissan,1253,626
Honda,400,501
Mercedes-Benz,724,877
Volvo,1000,640
Porsche,600,786
Mitsubishi,1117,696
Volvo,900,646
Subaru,919,689
BMW,1249,1034
Saab,400,599
Mercedes-Benz,300,717
Ford,449,836
Audi,274,710
Smart,300,327
Audi,300,624
Ford,280,750
Mercedes-Benz,100,522
Proton,410,612
Mercedes-Benz,324,779
Mercedes-Benz,136,822
Mercedes-Benz,224,970
BMW,300,478
Ford,76,457
Lamborghini,,1574
Honda,400,438
Honda,424,459
Citroen,370,521
Toyota,700,465
Mercedes-Benz,526,556
Vauxhall,100,340
BMW,300,506
Vauxhall,500,571
Mazda,259,754
Renault,133,603
Volkswagen,121,513
Vauxhall,357,584
Mercedes-Benz,500,578
MG Rover Group,600,590
Kia,900,877
Volkswagen,165,399
Lexus,1000,779
Nissan,480,629
Vauxhall,117,347
MG Rover Group,800,661
Seat,100,362
Skoda,615,514
Volkswagen,100,660
Audi,462,616
Mercedes-Benz,200,592
Toyota,100,747
MG Rover Group,761,541
Volvo,400,634
Volvo,558,649
Citroen,173,557
Ford,395,445
Volkswagen,100,528
Volkswagen,392,682
Vauxhall,219,549
Micro Compact Car,895,377
Volkswagen,355,482
Bentley Motors,,1301
Peugeot,265,592
Toyota,100,434
Mitsubishi,658,700
Honda,517,649
Hyundai,650,612
Volkswagen,300,612
Audi,521,618
Chrysler Jeep,1310,883
Renault,132,557
Skoda,400,640
Mercedes-Benz,378,836
Hyundai,168,634
Peugeot,1106,612
Proton,670,662
Peugeot,1376,626
Mazda,300,326
Honda,400,403
Renault,200,398
Audi,712,580
Vauxhall,200,340
Volvo,100,897
Audi,421,739
Honda,600,493
Volvo,200,616
Vauxhall,191,437
Mazda,360,475
Vauxhall,694,785
Skoda,800,501
Jaguar Cars,49,894
Vauxhall,269,716
Porsche,300,897
Hyundai,360,717
MG Rover Group,38,380
Audi,200,457
Audi,500,661
Vauxhall,200,493
Mercedes-Benz,700,620
Alfa Romeo,400,918
Lexus,580,905
Mercedes-Benz,600,528
LTI,134,565
Renault,500,535
Peugeot,919,725
Vauxhall,335,700
Peugeot,300,612
Volkswagen,500,592
Mercedes-Benz,,442
Lamborghini,950,1850
Ford,300,420
Alfa Romeo,870,905
Nissan,500,781
Audi,108,678
Peugeot,384,421
Mercedes-Benz,479,578
Renault,689,678
Volkswagen,667,556
Renault,400,686
Volkswagen,294,457
BMW,100,529
Renault,600,555
Volkswagen,200,580
Vauxhall,522,769
Volvo,1128,689
MG Rover Group,300,489
Audi,,637
Peugeot,500,549
Toyota,840,480
Subaru,800,521
Volvo,703,640
Jaguar Cars,500,854
Micro Compact Car,515,327
Ford,700,599
Peugeot,425,649
Audi,500,592
Vauxhall,600,556
Vauxhall,500,599
Ford,533,557
Volkswagen,468,493
Volvo,100,682
Renault,910,480
Mercedes-Benz,175,700
BMW,494,645
Vauxhall,400,634
Volkswagen,251,475
Hyundai,400,480
Mercedes-Benz,161,478
Suzuki,300,549
Renault,1300,779
Renault,133,580
Mini,635,465
Volkswagen,200,563
Ford,200,557
Volkswagen,200,565
Porsche,400,1034
Honda,383,678
Renault,647,521
MG Rover Group,500,543
Seat,121,493
Citroen,200,297
MG Rover Group,500,655
Daihatsu,637,609
Volvo,1100,661
Chrysler Jeep,1630,1018
Ford,700,652
Mercedes-Benz,95,858
Citroen,200,536
Volvo,400,463
Lexus,112,889
Vauxhall,700,599
Alfa Romeo,338,616
Vauxhall,1100,792
Mercedes-Benz,600,592
Hyundai,400,451
Vauxhall,1279,718
Volkswagen,500,602
Citroen,600,535
Chevrolet,540,937
Chevrolet,700,972
Volkswagen,544,731
BMW,215,791
Proton,840,626
Ford,200,528
Jaguar Cars,310,836
Ford,100,413
Jaguar Cars,200,795
Vauxhall,200,427
Mercedes-Benz,200,750
Mitsubishi,200,701
Skoda,775,556
Alfa Romeo,439,620
Ford,296,520
Toyota,390,602
Volvo,600,563
Renault,500,377
Renault,910,486
Citroen,900,480
Volvo,500,625
Honda,605,535
Mitsubishi,822,513
Suzuki,200,424
Seat,677,465
Subaru,1000,668
Renault,1000,556
Mercedes-Benz,100,478
Alfa Romeo,1518,849
Audi,400,592
Citroen,347,449
Honda,648,680
Mitsubishi,464,716
Mercedes-Benz,300,701
Subaru,647,696
Aston Martin Lagonda,500,1148
MG Rover Group,300,476
Mercedes-Benz,400,634
Mercedes-Benz,400,829
MG Rover Group,328,744
Chrysler Jeep,600,565
Vauxhall,700,640
Mercedes-Benz,600,571
Mercedes-Benz,300,786
BMW,100,758
Land Rover,1264,741
Renault,212,557
Seat,62,402
Renault,892,529
Suzuki,223,442
Mercedes-Benz,700,612
Vauxhall,219,486
Fiat,600,424
Honda,200,362
Chrysler Jeep,800,926
Volkswagen,100,384
Ford,204,427
Volkswagen,667,580
BMW,200,500
Vauxhall,400,701
Lotus,400,614
BMW,535,885
Ford,300,480
Alfa Romeo,980,626
Toyota,1080,599
Renault,700,514
Renault,500,535
Proton,900,625
Ford,200,449
MG Rover Group,410,476
Ford,491,629
Audi,682,563
Hyundai,134,464
Hyundai,100,464
MG Rover Group,400,476
Mercedes-Benz,100,464
Honda,600,493
Volkswagen,667,580
Volkswagen,100,412
Vauxhall,287,549
Volvo,500,620
Subaru,1100,675
Saab,700,701
Peugeot,160,391
Mazda,355,586
Renault,900,730
Renault,119,448
MG Rover Group,400,476
Peugeot,367,520
Toyota,200,319
Volvo,480,668
Subaru,1181,640
Chrysler Jeep,1653,1163
Volkswagen,667,586
Chrysler Jeep,933,594
Volkswagen,62,402
MG Rover Group,500,568
Peugeot,100,694
Vauxhall,100,427
Volkswagen,500,592
Proton,410,637
Ford,578,768
Suzuki,500,507
Micro Compact Car,343,355
Mercedes-Benz,324,812
Mercedes-Benz,224,861
Ford,100,730
Chevrolet,545,990
Volkswagen,300,465
Vauxhall,600,549
Ford,174,725
BMW,100,680
Audi,700,829
Honda,600,625
Peugeot,500,668
Volkswagen,300,703
Peugeot,,449
Ford,200,550
Fiat,708,535
Citroen,300,522
Ford,414,666
Audi,700,822
Mercedes-Benz,700,521
MG Rover Group,200,434
Skoda,834,603
Mercedes-Benz,600,634
Honda,820,612
Volkswagen,200,571
Mercedes-Benz,300,634
BMW,500,620
Toyota,470,465
Volkswagen,1310,971
Honda,633,612
Alfa Romeo,1170,825
Mazda,600,465
Skoda,450,409
Volkswagen,500,616
Volvo,1382,634
Vauxhall,155,771
Toyota,570,731
Micro Compact Car,298,369
Renault,944,571
Ford,895,528
Ford,193,731
Vauxhall,300,434
Citroen,497,675
Mercedes-Benz,300,485
Audi,200,442
Rover Group Limited,451,439
Fiat,800,599
Mercedes-Benz,200,736
Vauxhall,300,536
Citroen,706,529
Volvo,200,750
Volvo,780,640
MG Rover Group,500,680
Volvo,200,480
MG Rover Group,272,596
Skoda,324,355
Mercedes-Benz,200,792
Hyundai,500,445
Audi,718,514
Vauxhall,400,529
Alfa Romeo,1171,703
Honda,1400,584
Renault,454,514
BMW,865,556
Seat,300,486
Volkswagen,73,384
Volkswagen,200,391
Volkswagen,314,506
Chrysler Jeep,1800,1097
Mercedes-Benz,600,549
Fiat,175,429
MG Rover Group,900,599
Rover Group Limited,556,497
Vauxhall,200,340
Audi,200,701
Volvo,1400,634
Land Rover,1444,1203
Peugeot,1224,586
Volkswagen,698,918
Fiat,700,535
Proton,580,588
Ford,491,671
Alfa Romeo,300,427
Mercedes-Benz,55,925
Volkswagen,245,563
Proton,1120,612
LTI,390,711
Lotus,2000,1091
Saab,700,696
Subaru,1400,666
Land Rover,100,624
Ford,500,584
Mercedes-Benz,600,592
Vauxhall,100,340
Saab,400,634
Fiat,500,427
Ford,292,943
Toyota,910,520
Mercedes-Benz,300,779
Saab,550,725
Renault,900,480
Mercedes-Benz,407,718
Citroen,684,520
Mercedes-Benz,88,535
Vauxhall,695,507
BMW,500,652
Volvo,425,620
Renault,295,616
Toyota,360,1203
BMW,200,500
Mitsubishi,300,571
Lexus,960,750
Peugeot,103,686
Mitsubishi,739,633
BMW,400,661
Nissan,677,739
Renault,647,535
Chevrolet,600,836
Citroen,935,543
Mitsubishi,673,612
Peugeot,1068,571
Mitsubishi,200,869
Mitsubishi,300,398
Volkswagen,473,828
Audi,100,571
Chevrolet,200,931
Ford,244,497
Vauxhall,500,326
Volvo,80,786
Chrysler Jeep,500,563
Renault,128,739
Mercedes-Benz,100,478
Honda,1093,686
Rolls-Royce,,1330
Daewoo Cars,1800,592
Alfa Romeo,396,629
Mercedes-Benz,,442
Peugeot,750,449
Peugeot,1117,485
Mercedes-Benz,218,557
Daihatsu,400,333
Audi,581,838
Volkswagen,629,806
Peugeot,258,504
Mitsubishi,200,398
Toyota,970,493
Volkswagen,700,556
Volkswagen,100,478
Peugeot,1154,645
Saab,,612
Mazda,630,569
Ford,600,571
Maserati,500,1292
Daewoo Cars,1460,616
Rover Group Limited,484,608
Vauxhall,300,612
Toyota,240,437
Volkswagen,685,629
Volvo,300,391
Lotus,560,1038
Mercedes-Benz,300,815
MG Rover Group,400,725
Toyota,380,500
Volvo,200,480
Daihatsu,900,431
Ford,300,319
Alfa Romeo,459,620
Fiat,600,396
MG Rover Group,1800,556
Honda,300,584
Volkswagen,162,657
Audi,300,412
Chrysler Jeep,831,805
Vauxhall,400,473
Volvo,600,696
Volkswagen,200,420
Saab,1330,805
Micro Compact Car,300,341
BMW,323,526
Vauxhall,273,514
BMW,1200,543
Lexus,1000,779
Rolls-Royce,637,1212
Audi,,586
Volkswagen,300,612
Vauxhall,400,652
BMW,857,773
Citroen,300,604
Volkswagen,668,640
Honda,820,637
Nissan,600,521
Mercedes-Benz,200,427
Hyundai,490,786
Mercedes-Benz,,478
Perodua,700,390
Audi,,637
Daewoo Cars,780,979
Volkswagen,200,604
Mercedes-Benz,100,500
Mazda,537,535
Mazda,791,620
Volvo,1536,796
Mercedes-Benz,100,427
Mercedes-Benz,300,493
Volkswagen,593,747
Mercedes-Benz,200,599
Kia,300,563
Vauxhall,200,500
Mitsubishi,400,459
Land Rover,631,707
BMW,447,747
Volkswagen,884,918
Volvo,376,652
Audi,996,689
Saab,100,529
Jaguar Cars,530,801
Saab,600,640
Proton,600,465
Ford,318,395
Ford,518,595
Skoda,436,399
Metrocab,100,705
Kia,300,634
Subaru,980,844
Citroen,1397,724
Vauxhall,300,557
Mercedes-Benz,100,485
Ford,284,550
Mercedes-Benz,300,701
Mercedes-Benz,792,668
Vauxhall,200,427
Mercedes-Benz,500,549
Mercedes-Benz,500,578
Mercedes-Benz,510,529
Mercedes-Benz,300,586
Toyota,500,563
BMW,100,506
Mercedes-Benz,200,689
Ford,900,365
Alfa Romeo,876,815
Fiat,611,464
BMW,800,843
Ford,224,527
Peugeot,400,453
Alfa Romeo,666,517
Ford,500,556
Jaguar Cars,400,714
Skoda,426,399
Vauxhall,500,634
Nissan,500,427
Audi,600,584
Mercedes-Benz,500,620
Mercedes-Benz,700,646
Skoda,100,362
Mercedes-Benz,640,675
Mercedes-Benz,320,442
Ford,400,445
Mercedes-Benz,520,529
Mini,400,535
Renault,200,398
Ford,526,407
Ford,900,543
Volvo,620,634
Citroen,174,414
Rover Group Limited,733,543
Vauxhall,300,549
Volkswagen,82,333
MG Rover Group,1000,693
Honda,790,637
Mercedes-Benz,200,786
Ford,895,543
Volvo,800,646
Volkswagen,523,448
Honda,633,612
Renault,471,513
Volvo,600,701
Ford,416,550
Honda,633,637
Renault,400,555
Volvo,500,620
Volkswagen,100,645
Volkswagen,728,602
Honda,1022,725
Volvo,116,750
Volkswagen,790,594
Toyota,500,549
Subaru,570,707
Citroen,100,709
Mercedes-Benz,609,549
Mazda,347,626
Volvo,200,391
Seat,1111,580
Chrysler Jeep,1100,584
Alfa Romeo,1369,846
Mercedes-Benz,224,970
Hyundai,400,556
BMW,422,758
Mercedes-Benz,500,592
Volkswagen,500,592
Mercedes-Benz,500,543
Mercedes-Benz,600,592
Volkswagen,62,402
BMW,200,412
BMW,500,944
Ford,200,431
Vauxhall,300,514
Vauxhall,478,478
Volvo,500,709
Volkswagen,100,398
Nissan,300,442
Hyundai,564,457
Skoda,100,384
Perodua,1000,451
Volkswagen,95,347
Ford,600,701
Skoda,600,543
Mercedes-Benz,600,571
Hyundai,200,612
BMW,203,514
Jaguar Cars,710,873
Fiat,500,355
Citroen,200,500
Mercedes-Benz,646,689
Mercedes-Benz,700,877
Citroen,500,465
Honda,393,501
Ford,200,431
Suzuki,400,750
Volkswagen,100,485
Mercedes-Benz,100,779
Toyota,240,412
Vauxhall,400,514
Suzuki,35,580
BMW,450,941
Ford,500,431
Subaru,637,707
Honda,768,686
Mercedes-Benz,100,500
Volvo,800,675
Mercedes-Benz,200,722
Renault,900,480
Toyota,330,444
Subaru,200,682
Nissan,600,556
Ford,200,384
Fiat,175,440
Volvo,1068,701
Mazda,300,464
Volvo,266,391
Volvo,1100,689
Peugeot,500,675
Hyundai,200,629
Volkswagen,165,417
Proton,900,625
Daewoo Cars,660,602
Mercedes-Benz,500,528
Peugeot,349,384
Alfa Romeo,400,620
Honda,1141,624
Citroen,419,398
Vauxhall,700,701
Renault,300,304
Toyota,430,396
Renault,600,652
Renault,400,507
Renault,211,535
Vauxhall,300,434
Daewoo Cars,540,768
Volkswagen,320,478
Vauxhall,500,459
Hyundai,384,580
Volkswagen,400,836
Suzuki,300,529
Ford,1073,529
Renault,500,846
Maserati,1100,1085
Honda,200,236
Chrysler Jeep,1182,701
Micro Compact Car,700,368
Vauxhall,400,682
Volkswagen,100,522
Ford,400,451
Toyota,600,507
Vauxhall,417,643
Vauxhall,784,550
Renault,487,444
Honda,1300,689
Vauxhall,300,333
Vauxhall,219,493
Nissan,300,668
Chrysler Jeep,200,703
Honda,1300,689
BMW,300,634
Volkswagen,600,717
Mitsubishi,673,637
Seat,66,377
Vauxhall,500,584
Isuzu,100,752
Vauxhall,1100,815
Daewoo Cars,380,594
Saab,400,599
Citroen,929,550
Fiat,347,495
Subaru,1330,703
Micro Compact Car,298,341
Volkswagen,95,339
Ford,414,693
Skoda,151,420
Mazda,300,478
Volvo,300,470
BMW,1020,640
Vauxhall,300,557
Ford,55,760
Audi,220,534
Ford,200,744
Ford,300,480
Lexus,400,703
Seat,874,580
Ford,662,473
Mercedes-Benz,527,637
Daihatsu,800,438
Subaru,900,747
BMW,1200,625
Volvo,1100,722
Mercedes-Benz,700,543
Audi,560,609
Vauxhall,342,406
Proton,700,659
Seat,77,588
Mercedes-Benz,500,543
Suzuki,400,563
Citroen,467,584
Ford,312,752
Renault,500,333
Renault,163,680
Ford,600,584
Skoda,200,521
Alfa Romeo,396,651
Volvo,100,786
Mercedes-Benz,200,736
Volkswagen,400,805
Ferrari,800,1345
Mercedes-Benz,242,781
Mitsubishi,198,956
Citroen,1117,557
Volkswagen,300,473
Volkswagen,304,580
Saab,420,536
Proton,1140,583
Daewoo Cars,700,565
Vauxhall,503,565
Suzuki,373,750
Mercedes-Benz,200,689
Vauxhall,552,620
Vauxhall,400,323
Audi,184,825
Maserati,500,1292
Volvo,1080,661
Volkswagen,355,482
Subaru,1000,592
Daewoo Cars,778,934
Citroen,400,424
Honda,700,861
Ford,120,634
Audi,532,456
Ford,600,549
Citroen,890,521
Mercedes-Benz,475,514
Volvo,600,423
Audi,900,861
Volkswagen,376,641
Peugeot,400,597
Honda,820,637
Volkswagen,100,507
Mazda,800,493
Peugeot,246,464
Land Rover,799,1251
Volvo,972,791
Ford,109,417
Mercedes-Benz,300,758
Mercedes-Benz,600,571
Daewoo Cars,970,666
Mercedes-Benz,200,536
Vauxhall,400,357
BMW,1000,493
Volvo,1000,652
Volvo,700,786
Volvo,900,722
BMW,100,565
Peugeot,200,470
MG Rover Group,379,725
Volvo,1493,673
BMW,1249,1002
Vauxhall,100,412
Peugeot,500,668
Suzuki,300,368
Peugeot,1117,465
Vauxhall,503,556
BMW,865,528
Ford,535,480
Mercedes-Benz,100,736
Subaru,1200,682
Renault,52,550
BMW,400,668
BMW,356,661
Jaguar Cars,360,829
Volkswagen,400,1028
Audi,400,792
Skoda,100,362
Suzuki,266,398
Ferrari,500,1764
Rover Group Limited,713,505
Renault,300,571
BMW,1200,514
Jaguar Cars,600,701
Toyota,500,563
Peugeot,179,510
Volvo,578,696
Hyundai,400,396
Vauxhall,300,434
Mazda,498,599
MG Rover Group,480,500
Honda,650,666
Mercedes-Benz,300,1018
Audi,1000,1002
Audi,117,678
Peugeot,956,700
Land Rover,296,680
Volvo,500,758
Fiat,450,384
BMW,100,703
Jaguar Cars,500,854
Kia,150,609
Suzuki,617,565
Mercedes-Benz,125,832
Saab,,550
Vauxhall,500,599
MG Rover Group,730,680
Ford,400,480
Aston Martin Lagonda,400,1162
Volvo,640,689
Hyundai,900,580
Vauxhall,500,535
Ford,244,471
Mercedes-Benz,326,786
Volvo,1000,543
Volkswagen,122,377
Daihatsu,400,333
Volkswagen,238,527
Ford,733,602
Audi,300,420
Volvo,100,750
Volkswagen,468,673
Volkswagen,400,682
Seat,814,668
Vauxhall,194,717
Ford,325,889
Seat,117,377
Volvo,1008,640
Mercedes-Benz,544,549
Vauxhall,200,501
